DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.64,11.45,0.0,15.94,1.71,Nashik
20190102,32.05,13.6,0.0,17.16,1.37,Nashik
20190103,31.46,12.51,0.0,18.37,1.48,Nashik
20190104,32.37,12.61,0.0,18.04,1.99,Nashik
20190105,31.32,15.88,0.0,19.42,1.63,Nashik
20190106,30.48,13.12,0.0,22.69,1.98,Nashik
20190107,29.91,11.12,0.0,19.38,2.59,Nashik
20190108,31.14,11.09,0.0,15.92,2.46,Nashik
20190109,31.49,10.9,0.0,15.03,1.69,Nashik
20190110,31.27,11.46,0.0,19.26,2.29,Nashik
20190111,31.92,11.71,0.0,19.05,1.85,Nashik
20190112,30.53,13.86,0.0,21.35,1.89,Nashik
20190113,30.56,10.87,0.0,28.25,1.55,Nashik
20190114,30.15,13.24,0.0,25.6,3.37,Nashik
20190115,31.43,13.13,0.0,26.55,2.32,Nashik
20190116,32.66,13.94,0.0,29.66,2.13,Nashik
20190117,32.48,13.65,0.0,23.87,1.49,Nashik
20190118,32.55,13.72,0.0,19.5,1.81,Nashik
20190119,32.59,14.74,0.0,20.33,2.23,Nashik
20190120,32.79,14.08,0.0,22.3,1.54,Nashik
20190121,31.17,14.65,0.0,35.25,2.34,Nashik
20190122,27.76,14.13,0.0,68.22,2.07,Nashik
20190123,27.24,13.4,0.0,60.12,1.73,Nashik
20190124,29.24,10.66,0.0,34.94,2.13,Nashik
20190125,26.99,10.21,0.0,25.33,2.5,Nashik
20190126,26.4,9.86,0.0,31.67,3.29,Nashik
20190127,26.95,11.56,0.0,37.57,3.89,Nashik
20190128,25.71,9.64,0.0,23.26,3.7,Nashik
20190129,28.16,9.58,0.0,16.01,3.43,Nashik
20190130,30.16,10.47,0.0,14.81,1.97,Nashik
20190131,30.34,14.44,0.0,19.91,1.5,Nashik
20190201,31.18,12.36,0.0,23.92,1.83,Nashik
20190202,31.32,13.96,0.0,30.55,2.2,Nashik
20190203,31.53,16.79,0.0,38.13,2.22,Nashik
20190204,32.7,16.89,0.0,32.5,2.86,Nashik
20190205,32.93,15.86,0.0,34.49,1.74,Nashik
20190206,31.59,14.91,0.0,42.78,2.34,Nashik
20190207,25.71,12.53,0.0,61.65,3.18,Nashik
20190208,24.65,8.74,0.0,53.08,2.49,Nashik
20190209,27.71,7.25,0.0,20.43,2.81,Nashik
20190210,31.95,9.83,0.0,12.21,3.17,Nashik
20190211,33.19,12.33,0.0,16.68,2.05,Nashik
20190212,34.47,14.79,0.0,24.97,1.47,Nashik
20190213,34.44,19.32,0.0,35.25,2.07,Nashik
20190214,33.88,17.89,0.0,36.86,1.95,Nashik
20190215,31.88,15.92,0.0,37.99,2.26,Nashik
20190216,31.21,12.51,0.0,31.52,1.55,Nashik
20190217,32.39,12.88,0.0,20.17,1.57,Nashik
20190218,35.1,16.05,0.0,19.73,1.74,Nashik
20190219,35.61,15.33,0.0,24.83,1.58,Nashik
20190220,37.53,16.75,0.0,26.36,2.69,Nashik
20190221,35.91,16.21,0.0,47.0,1.93,Nashik
20190222,36.08,18.15,0.0,36.22,1.78,Nashik
20190223,36.57,17.58,0.0,28.58,2.29,Nashik
20190224,35.19,17.12,0.0,17.65,2.34,Nashik
20190225,33.26,15.93,0.0,26.47,2.48,Nashik
20190226,30.28,15.83,0.0,39.8,2.92,Nashik
20190227,28.81,14.67,0.0,55.71,2.71,Nashik
20190228,29.8,12.53,0.0,33.14,2.23,Nashik
20190301,33.08,13.65,0.0,17.9,2.1,Nashik
20190302,37.45,16.2,0.0,30.02,3.65,Nashik
20190303,33.26,16.41,0.0,56.89,2.38,Nashik
20190304,31.87,16.29,0.0,63.73,2.71,Nashik
20190305,32.42,16.4,0.0,51.64,2.2,Nashik
20190306,31.3,13.3,0.0,45.41,1.99,Nashik
20190307,33.25,12.97,0.0,40.62,1.82,Nashik
20190308,35.77,16.72,0.0,26.3,1.99,Nashik
20190309,35.0,17.45,0.0,30.85,2.29,Nashik
20190310,36.43,16.82,0.0,24.87,2.31,Nashik
20190311,33.56,15.79,0.0,39.18,2.32,Nashik
20190312,35.34,15.67,0.0,37.78,1.94,Nashik
20190313,34.04,14.94,0.0,41.73,2.44,Nashik
20190314,33.24,16.53,0.0,41.38,2.52,Nashik
20190315,36.22,15.57,0.0,23.1,1.9,Nashik
20190316,37.64,17.35,0.0,19.7,2.15,Nashik
20190317,36.39,19.36,0.0,17.8,2.23,Nashik
20190318,37.19,16.46,0.0,22.77,2.39,Nashik
20190319,37.47,18.41,0.0,18.15,2.02,Nashik
20190320,36.84,19.27,0.0,26.69,2.11,Nashik
20190321,36.11,16.59,0.0,36.92,2.11,Nashik
20190322,36.32,15.51,0.0,29.88,1.74,Nashik
20190323,38.43,18.59,0.0,18.43,2.03,Nashik
20190324,39.11,19.95,0.0,16.75,1.94,Nashik
20190325,40.33,20.72,0.0,18.45,2.47,Nashik
20190326,39.79,21.12,0.0,19.24,2.53,Nashik
20190327,40.06,20.58,0.0,14.31,1.76,Nashik
20190328,40.42,22.2,0.0,14.11,1.37,Nashik
20190329,40.72,23.05,0.0,18.97,1.32,Nashik
20190330,39.87,22.14,0.0,25.24,2.08,Nashik
20190331,38.69,20.34,0.0,34.63,2.69,Nashik
20190401,39.31,18.4,0.0,36.45,2.44,Nashik
20190402,40.15,18.76,0.0,32.11,1.44,Nashik
20190403,40.84,20.45,0.0,32.68,1.7,Nashik
20190404,41.72,21.77,0.0,25.87,1.81,Nashik
20190405,39.21,20.69,0.0,44.11,2.78,Nashik
20190406,39.22,19.55,0.0,39.75,2.72,Nashik
20190407,39.1,19.41,0.0,37.39,2.59,Nashik
20190408,39.3,19.92,0.0,37.76,2.53,Nashik
20190409,38.56,19.93,0.0,34.57,2.99,Nashik
20190410,39.61,18.93,0.0,36.65,2.39,Nashik
20190411,40.3,20.86,0.0,34.19,2.23,Nashik
20190412,40.42,22.01,0.0,31.91,2.21,Nashik
20190413,41.07,21.15,0.0,28.43,1.64,Nashik
20190414,41.12,24.18,0.0,25.88,1.52,Nashik
20190415,36.82,25.52,3.51,31.8,1.86,Nashik
20190416,35.58,22.54,2.49,45.18,2.78,Nashik
20190417,34.37,18.81,0.0,43.54,3.06,Nashik
20190418,36.31,16.19,0.0,45.29,2.08,Nashik
20190419,38.19,18.81,0.0,38.66,2.41,Nashik
20190420,38.87,20.53,0.0,26.96,1.98,Nashik
20190421,38.06,18.67,0.0,36.46,2.48,Nashik
20190422,39.03,19.0,0.0,35.91,2.32,Nashik
20190423,40.83,20.24,0.0,36.01,1.75,Nashik
20190424,41.82,22.1,0.0,28.53,1.98,Nashik
20190425,41.75,22.17,0.0,32.79,2.66,Nashik
20190426,42.92,24.45,0.0,25.02,2.79,Nashik
20190427,43.36,25.83,0.0,20.74,2.94,Nashik
20190428,42.66,25.89,0.0,15.78,3.21,Nashik
20190429,40.94,23.15,0.0,33.65,3.07,Nashik
20190430,40.52,22.48,0.0,33.53,3.63,Nashik
20190501,37.6,20.69,0.0,47.65,3.89,Nashik
20190502,37.16,19.33,0.0,50.36,3.37,Nashik
20190503,36.29,20.1,0.0,54.98,3.97,Nashik
20190504,36.51,20.86,0.0,60.15,3.81,Nashik
20190505,37.8,21.38,0.0,53.5,3.04,Nashik
20190506,39.33,20.29,0.0,48.18,2.47,Nashik
20190507,38.66,20.87,0.0,42.46,3.27,Nashik
20190508,36.88,22.21,0.0,56.64,4.08,Nashik
20190509,36.51,21.48,0.0,56.0,3.89,Nashik
20190510,36.88,21.56,0.0,52.18,3.58,Nashik
20190511,38.46,20.16,0.0,52.66,3.25,Nashik
20190512,39.82,21.07,0.0,53.16,3.21,Nashik
20190513,39.56,21.98,0.0,52.2,3.51,Nashik
20190514,38.71,21.09,0.0,51.57,3.14,Nashik
20190515,38.26,20.88,0.0,50.93,2.96,Nashik
20190516,37.86,19.3,0.1,46.79,2.73,Nashik
20190517,38.03,20.22,0.0,45.55,2.9,Nashik
20190518,38.48,21.71,0.0,42.31,2.95,Nashik
20190519,39.22,22.62,0.0,34.33,3.08,Nashik
20190520,40.66,22.47,0.0,37.46,2.65,Nashik
20190521,40.48,22.42,0.0,47.0,2.99,Nashik
20190522,39.68,23.72,0.0,51.44,3.39,Nashik
20190523,39.79,23.13,0.0,51.79,3.74,Nashik
20190524,38.46,22.58,0.0,54.14,3.67,Nashik
20190525,38.76,23.21,0.0,50.3,3.34,Nashik
20190526,37.78,21.82,0.0,52.37,3.36,Nashik
20190527,38.07,22.56,0.0,51.39,3.24,Nashik
20190528,39.81,22.51,0.0,49.49,3.61,Nashik
20190529,40.45,23.03,0.0,49.15,3.41,Nashik
20190530,39.49,22.94,0.0,52.36,3.7,Nashik
20190531,39.65,23.44,0.0,52.04,3.88,Nashik
20190601,39.82,23.4,0.0,57.77,4.19,Nashik
20190602,39.34,23.42,0.0,55.76,3.84,Nashik
20190603,37.36,24.46,0.0,56.16,4.62,Nashik
20190604,37.43,23.78,0.0,54.22,4.31,Nashik
20190605,40.17,23.67,0.0,52.41,3.7,Nashik
20190606,36.84,24.05,0.05,54.81,4.09,Nashik
20190607,37.99,23.95,0.69,58.85,3.54,Nashik
20190608,34.43,24.81,14.88,66.28,3.04,Nashik
20190609,35.79,23.66,3.47,66.87,2.93,Nashik
20190610,35.71,23.58,1.71,63.33,3.06,Nashik
20190611,33.86,23.96,9.74,72.82,2.1,Nashik
20190612,31.8,23.68,7.62,75.34,4.19,Nashik
20190613,32.64,22.73,4.73,71.01,5.89,Nashik
20190614,32.9,22.26,3.88,68.57,5.52,Nashik
20190615,32.65,22.57,5.94,71.13,5.1,Nashik
20190616,33.47,23.52,2.92,73.68,4.68,Nashik
20190617,32.91,23.47,2.06,73.85,5.03,Nashik
20190618,32.29,23.08,3.42,74.06,5.62,Nashik
20190619,32.36,23.36,5.3,76.24,4.47,Nashik
20190620,33.2,23.09,0.06,73.73,3.9,Nashik
20190621,33.85,22.76,0.0,72.02,3.5,Nashik
20190622,32.92,22.72,0.31,72.64,3.22,Nashik
20190623,32.48,23.43,1.55,75.42,3.04,Nashik
20190624,28.88,23.32,15.71,83.43,3.03,Nashik
20190625,27.94,22.64,3.49,83.83,2.81,Nashik
20190626,32.74,22.54,6.1,77.48,3.12,Nashik
20190627,31.6,23.56,24.61,80.81,3.68,Nashik
20190628,26.79,23.18,56.62,90.11,6.1,Nashik
20190629,25.51,23.09,38.41,89.63,4.7,Nashik
20190630,26.11,23.3,68.64,90.17,4.4,Nashik
20190701,26.56,23.22,104.33,93.14,3.79,Nashik
20190702,28.02,22.63,33.06,88.87,3.99,Nashik
20190703,26.02,21.85,7.21,90.9,4.08,Nashik
20190704,27.06,21.51,5.68,86.94,4.96,Nashik
20190705,26.48,21.36,37.32,91.21,5.24,Nashik
20190706,26.2,23.19,89.78,93.5,6.18,Nashik
20190707,25.6,23.16,74.87,94.94,5.49,Nashik
20190708,25.93,23.33,25.22,93.43,5.03,Nashik
20190709,27.03,23.37,18.57,92.71,5.22,Nashik
20190710,28.04,23.24,18.53,91.42,4.94,Nashik
20190711,27.2,23.22,12.22,91.5,5.38,Nashik
20190712,26.94,22.85,4.58,91.19,4.59,Nashik
20190713,28.07,22.6,8.96,90.04,4.74,Nashik
20190714,27.71,23.12,3.95,90.42,5.16,Nashik
20190715,27.71,22.82,1.49,90.19,4.78,Nashik
20190716,28.35,22.68,1.56,89.14,4.96,Nashik
20190717,28.38,22.69,1.01,88.05,3.76,Nashik
20190718,28.77,22.15,1.6,86.9,2.48,Nashik
20190719,30.34,22.12,19.77,84.85,1.17,Nashik
20190720,29.16,22.93,34.63,85.89,0.98,Nashik
20190721,30.15,22.76,13.97,85.84,0.76,Nashik
20190722,30.71,23.42,3.48,87.38,1.95,Nashik
20190723,30.2,23.7,3.54,88.46,2.4,Nashik
20190724,27.05,23.56,26.22,94.45,4.15,Nashik
20190725,26.5,23.68,37.18,93.37,5.11,Nashik
20190726,26.43,23.58,55.89,93.76,5.67,Nashik
20190727,25.02,23.05,22.36,94.88,6.41,Nashik
20190728,24.92,23.09,18.62,95.03,5.82,Nashik
20190729,25.16,22.88,61.47,95.23,5.9,Nashik
20190730,24.91,22.52,43.44,95.28,6.28,Nashik
20190731,25.23,22.56,42.46,94.62,6.42,Nashik
20190801,25.87,22.22,18.52,93.04,6.71,Nashik
20190802,25.3,21.93,58.64,94.38,6.43,Nashik
20190803,25.45,22.69,97.64,95.54,5.86,Nashik
20190804,25.67,22.96,134.28,95.45,5.42,Nashik
20190805,25.67,22.76,44.72,94.54,5.98,Nashik
20190806,26.1,22.68,7.83,93.85,5.75,Nashik
20190807,26.16,22.66,11.53,94.0,5.96,Nashik
20190808,24.92,22.58,13.93,94.76,6.03,Nashik
20190809,24.79,22.44,19.8,95.18,6.79,Nashik
20190810,26.08,21.95,20.0,93.44,6.94,Nashik
20190811,26.68,21.76,10.43,91.9,5.17,Nashik
20190812,27.03,21.7,2.0,91.31,3.66,Nashik
20190813,27.88,21.8,2.27,91.4,3.39,Nashik
20190814,25.71,22.18,4.33,94.04,2.8,Nashik
20190815,26.94,22.2,7.79,92.35,4.02,Nashik
20190816,27.39,22.06,9.98,90.87,4.47,Nashik
20190817,27.56,21.76,4.17,90.11,3.75,Nashik
20190818,27.4,21.21,3.38,90.61,3.12,Nashik
20190819,27.56,21.15,0.86,90.61,2.56,Nashik
20190820,25.8,21.41,0.44,92.32,2.38,Nashik
20190821,27.21,21.01,5.02,90.81,2.99,Nashik
20190822,27.21,21.16,2.45,89.81,2.64,Nashik
20190823,27.2,20.19,0.45,88.89,2.36,Nashik
20190824,26.88,20.63,2.59,89.92,2.41,Nashik
20190825,26.38,21.09,2.47,90.28,2.46,Nashik
20190826,26.7,21.01,3.87,89.23,2.99,Nashik
20190827,26.94,20.82,6.42,89.62,2.91,Nashik
20190828,27.59,20.69,5.11,89.49,2.4,Nashik
20190829,28.9,21.11,4.32,88.18,1.81,Nashik
20190830,28.7,21.92,7.16,89.54,2.4,Nashik
20190831,27.84,22.22,16.42,91.4,3.09,Nashik
20190901,25.87,21.79,21.78,93.35,3.16,Nashik
20190902,27.81,21.92,9.39,91.29,3.36,Nashik
20190903,27.11,22.19,26.23,91.32,3.66,Nashik
20190904,25.36,22.52,52.48,95.31,3.44,Nashik
20190905,27.11,21.87,20.81,93.51,3.96,Nashik
20190906,26.03,22.55,14.98,93.51,4.45,Nashik
20190907,26.23,22.0,38.5,94.07,4.39,Nashik
20190908,26.12,22.35,30.27,94.26,4.21,Nashik
20190909,25.69,22.25,31.13,95.19,3.91,Nashik
20190910,26.7,22.42,31.66,94.18,3.85,Nashik
20190911,25.74,22.37,29.61,94.23,3.98,Nashik
20190912,25.25,22.37,19.15,94.55,3.64,Nashik
20190913,26.01,22.29,21.2,93.87,3.65,Nashik
20190914,26.35,21.76,54.32,93.83,3.07,Nashik
20190915,26.3,21.8,17.51,91.85,2.58,Nashik
20190916,26.79,21.88,2.35,92.24,3.39,Nashik
20190917,27.73,22.18,13.06,92.09,2.57,Nashik
20190918,27.1,21.84,18.1,93.57,1.47,Nashik
20190919,27.04,22.45,21.36,92.65,1.61,Nashik
20190920,26.77,21.87,6.02,94.11,2.86,Nashik
20190921,28.36,20.4,2.4,87.69,1.92,Nashik
20190922,28.79,21.39,2.2,89.16,1.69,Nashik
20190923,27.25,22.04,2.1,91.49,1.27,Nashik
20190924,27.82,21.36,12.01,90.35,1.22,Nashik
20190925,27.17,21.96,32.94,92.04,1.61,Nashik
20190926,25.57,22.4,34.15,94.79,2.13,Nashik
20190927,26.7,21.43,6.05,92.87,2.92,Nashik
20190928,26.8,21.23,2.15,91.62,2.69,Nashik
20190929,26.03,20.82,3.21,93.07,2.45,Nashik
20190930,26.88,20.67,5.09,92.04,2.75,Nashik
20191001,26.72,21.37,6.53,92.12,2.89,Nashik
20191002,27.46,20.61,0.92,89.93,1.71,Nashik
20191003,28.96,20.59,3.79,85.09,0.98,Nashik
20191004,26.87,20.43,3.64,89.85,1.08,Nashik
20191005,26.72,19.83,15.76,87.24,0.93,Nashik
20191006,27.1,20.47,20.76,85.93,0.95,Nashik
20191007,27.79,20.55,6.72,85.84,0.9,Nashik
20191008,28.7,20.01,3.13,86.26,1.56,Nashik
20191009,28.2,20.62,2.41,86.48,1.64,Nashik
20191010,28.72,20.11,0.75,82.92,1.64,Nashik
20191011,28.44,19.83,0.25,83.01,1.38,Nashik
20191012,26.16,19.86,1.19,85.68,1.58,Nashik
20191013,27.73,20.18,0.87,86.54,1.74,Nashik
20191014,28.81,19.55,0.0,82.51,2.15,Nashik
20191015,27.93,17.94,0.0,81.15,2.63,Nashik
20191016,27.42,17.8,0.0,83.35,2.46,Nashik
20191017,27.77,17.79,0.0,80.98,2.21,Nashik
20191018,25.74,19.75,1.06,89.29,2.36,Nashik
20191019,23.78,19.63,10.17,93.11,3.12,Nashik
20191020,24.5,19.44,5.53,91.56,2.95,Nashik
20191021,24.22,19.99,3.8,91.86,2.71,Nashik
20191022,25.75,20.22,5.87,91.99,1.47,Nashik
20191023,24.42,20.68,14.08,93.34,2.11,Nashik
20191024,25.87,20.04,7.5,91.5,3.11,Nashik
20191025,25.2,18.5,2.56,90.84,4.27,Nashik
20191026,25.02,19.28,1.95,92.22,3.52,Nashik
20191027,27.42,19.15,0.15,84.35,2.12,Nashik
20191028,27.91,17.15,6.42,82.24,1.38,Nashik
20191029,27.15,20.19,6.95,91.76,2.67,Nashik
20191030,26.56,21.23,5.9,91.05,2.53,Nashik
20191031,27.78,20.88,0.26,87.05,2.6,Nashik
20191101,25.79,20.81,4.64,91.55,3.19,Nashik
20191102,26.47,20.65,28.45,84.87,1.32,Nashik
20191103,27.11,19.04,1.43,86.49,1.7,Nashik
20191104,28.08,18.66,1.0,85.56,1.53,Nashik
20191105,28.47,16.44,0.0,79.59,1.13,Nashik
20191106,28.09,17.79,0.1,84.9,1.04,Nashik
20191107,26.97,19.2,2.59,90.06,1.55,Nashik
20191108,26.6,18.23,4.94,89.58,1.6,Nashik
20191109,27.26,18.36,0.83,81.72,0.91,Nashik
20191110,27.86,16.99,0.0,80.2,1.16,Nashik
20191111,28.14,17.39,0.0,76.6,1.42,Nashik
20191112,27.32,16.75,0.0,81.13,1.65,Nashik
20191113,24.59,17.84,0.0,84.39,2.3,Nashik
20191114,26.0,15.45,0.0,81.29,2.45,Nashik
20191115,26.49,16.56,0.0,83.04,1.97,Nashik
20191116,27.31,17.88,0.0,83.39,1.72,Nashik
20191117,27.51,17.79,0.0,83.35,2.11,Nashik
20191118,26.93,15.63,0.0,80.52,2.2,Nashik
20191119,26.33,15.92,0.0,79.74,1.81,Nashik
20191120,26.89,14.13,0.0,77.87,1.63,Nashik
20191121,26.82,15.66,0.0,81.57,2.21,Nashik
20191122,26.62,16.26,0.0,78.61,1.92,Nashik
20191123,26.78,16.1,0.0,79.37,1.8,Nashik
20191124,26.41,16.17,0.0,76.78,1.88,Nashik
20191125,26.69,14.04,0.0,78.51,1.92,Nashik
20191126,26.54,15.52,0.0,80.05,2.03,Nashik
20191127,27.05,15.49,0.0,77.51,1.88,Nashik
20191128,27.24,14.98,0.0,74.18,1.73,Nashik
20191129,27.38,15.99,0.0,78.36,1.38,Nashik
20191130,27.42,16.87,0.0,78.94,1.87,Nashik
20191201,26.8,17.41,0.0,83.2,1.5,Nashik
20191202,27.12,18.58,0.0,83.77,2.15,Nashik
20191203,26.56,17.24,0.0,84.42,2.89,Nashik
20191204,26.47,18.64,0.04,83.4,3.09,Nashik
20191205,25.66,18.83,0.12,84.77,2.5,Nashik
20191206,24.43,16.9,0.01,81.39,2.45,Nashik
20191207,25.95,15.24,0.0,77.44,3.03,Nashik
20191208,26.21,14.58,0.0,74.63,2.06,Nashik
20191209,26.66,15.64,0.0,80.01,2.3,Nashik
20191210,27.18,16.8,0.0,74.16,1.57,Nashik
20191211,27.72,17.05,0.0,72.04,1.07,Nashik
20191212,26.82,15.95,0.06,72.39,1.43,Nashik
20191213,26.1,14.32,0.0,76.41,1.3,Nashik
20191214,26.66,12.68,0.0,76.66,1.41,Nashik
