DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,26.14,21.81,0.0,50.11,2.87,Palghar
20190102,26.57,22.07,0.0,52.82,3.83,Palghar
20190103,26.65,21.77,0.0,52.11,3.76,Palghar
20190104,25.57,20.65,0.0,53.99,3.13,Palghar
20190105,25.4,22.47,0.0,58.04,3.03,Palghar
20190106,25.89,22.06,0.0,64.08,4.91,Palghar
20190107,26.41,20.81,0.0,54.02,5.22,Palghar
20190108,25.41,18.37,0.0,55.53,4.15,Palghar
20190109,25.06,21.42,0.0,53.1,4.63,Palghar
20190110,25.56,19.16,0.0,55.13,3.93,Palghar
20190111,25.0,21.4,0.0,56.93,3.51,Palghar
20190112,24.39,21.78,0.0,60.15,3.16,Palghar
20190113,25.29,21.07,0.0,59.8,4.81,Palghar
20190114,27.0,20.69,0.0,56.73,4.93,Palghar
20190115,26.75,19.92,0.0,59.99,4.15,Palghar
20190116,26.19,20.67,0.0,62.79,2.84,Palghar
20190117,26.77,22.34,0.0,58.46,4.32,Palghar
20190118,26.77,21.87,0.0,53.04,3.51,Palghar
20190119,25.98,21.04,0.0,61.04,2.84,Palghar
20190120,27.65,22.61,0.0,63.63,2.45,Palghar
20190121,24.84,22.71,0.0,78.18,3.42,Palghar
20190122,23.48,22.56,0.49,75.13,2.89,Palghar
20190123,23.63,21.66,0.1,70.09,3.85,Palghar
20190124,24.06,21.01,0.0,59.58,5.01,Palghar
20190125,23.8,20.56,0.0,55.39,7.6,Palghar
20190126,25.08,20.19,0.0,53.1,7.86,Palghar
20190127,25.67,20.26,0.0,56.47,6.99,Palghar
20190128,25.48,19.83,0.0,50.11,6.71,Palghar
20190129,26.28,18.59,0.0,53.0,5.09,Palghar
20190130,25.69,18.01,0.0,50.67,3.56,Palghar
20190131,24.4,21.49,0.0,51.88,3.53,Palghar
20190201,25.39,21.52,0.0,58.49,4.91,Palghar
20190202,25.55,21.19,0.0,60.21,4.31,Palghar
20190203,25.67,21.53,0.0,67.77,3.44,Palghar
20190204,27.09,22.42,0.0,66.16,3.09,Palghar
20190205,26.25,22.35,0.56,72.96,2.76,Palghar
20190206,24.54,22.33,0.12,71.49,4.23,Palghar
20190207,22.75,21.4,0.11,68.08,5.45,Palghar
20190208,21.17,19.43,0.0,64.82,4.85,Palghar
20190209,24.33,19.39,0.0,48.45,5.52,Palghar
20190210,25.25,16.97,0.0,49.58,3.34,Palghar
20190211,25.83,21.57,0.0,47.21,2.59,Palghar
20190212,29.16,23.13,0.0,50.71,2.92,Palghar
20190213,26.41,23.07,0.0,68.27,3.89,Palghar
20190214,24.98,22.64,0.0,74.14,4.44,Palghar
20190215,24.72,22.5,0.0,67.81,4.32,Palghar
20190216,25.76,21.82,0.0,64.0,3.79,Palghar
20190217,25.7,21.41,0.0,59.34,3.44,Palghar
20190218,25.45,21.97,0.0,63.5,3.05,Palghar
20190219,25.79,22.3,0.0,71.96,3.81,Palghar
20190220,25.8,22.43,0.18,71.42,2.92,Palghar
20190221,24.8,22.55,0.0,79.13,3.87,Palghar
20190222,26.19,22.76,0.0,79.19,4.46,Palghar
20190223,27.82,23.29,0.0,63.88,4.95,Palghar
20190224,28.16,22.97,0.0,60.02,4.4,Palghar
20190225,26.41,22.69,0.0,71.61,4.47,Palghar
20190226,26.0,23.33,0.0,69.61,3.82,Palghar
20190227,24.8,23.15,0.01,75.27,3.77,Palghar
20190228,26.93,22.19,0.0,61.26,5.12,Palghar
20190301,26.87,21.86,0.0,52.03,3.6,Palghar
20190302,26.57,22.88,0.02,77.98,3.27,Palghar
20190303,25.19,23.48,0.09,77.21,3.31,Palghar
20190304,25.29,23.41,0.31,81.27,3.67,Palghar
20190305,25.86,23.32,0.0,66.72,3.81,Palghar
20190306,24.85,23.02,0.0,66.39,4.37,Palghar
20190307,25.86,22.54,0.0,69.97,4.13,Palghar
20190308,25.49,22.87,0.0,72.19,4.41,Palghar
20190309,27.04,23.3,0.07,70.05,4.04,Palghar
20190310,27.41,23.25,0.0,66.68,3.38,Palghar
20190311,25.18,23.64,0.02,74.43,4.44,Palghar
20190312,25.97,23.54,0.0,67.4,4.24,Palghar
20190313,25.61,23.48,0.0,65.36,5.32,Palghar
20190314,25.63,23.39,0.0,64.97,5.64,Palghar
20190315,27.97,23.19,0.0,60.77,5.02,Palghar
20190316,27.5,23.32,0.0,68.96,3.66,Palghar
20190317,27.59,23.74,0.47,68.48,2.95,Palghar
20190318,28.22,23.85,0.0,67.8,3.24,Palghar
20190319,28.55,24.07,0.0,72.32,3.2,Palghar
20190320,26.82,24.38,0.0,72.1,3.77,Palghar
20190321,26.57,23.85,0.0,68.3,3.88,Palghar
20190322,27.12,23.72,0.0,71.67,4.27,Palghar
20190323,29.37,24.13,0.05,67.29,3.66,Palghar
20190324,29.31,24.7,0.0,60.07,4.01,Palghar
20190325,30.25,25.53,0.0,57.09,4.01,Palghar
20190326,31.27,26.2,0.0,56.94,4.36,Palghar
20190327,29.12,24.87,0.07,69.24,2.52,Palghar
20190328,29.43,25.0,0.07,77.67,2.32,Palghar
20190329,28.56,25.42,0.06,78.85,3.24,Palghar
20190330,28.61,25.65,0.04,80.05,2.91,Palghar
20190331,29.04,25.9,0.02,76.45,2.97,Palghar
20190401,27.96,25.4,0.0,75.98,3.62,Palghar
20190402,28.21,24.74,0.01,79.69,2.71,Palghar
20190403,29.07,25.51,0.04,79.76,2.82,Palghar
20190404,29.18,25.97,0.05,80.66,3.03,Palghar
20190405,28.76,26.02,0.03,79.81,3.61,Palghar
20190406,28.77,25.92,0.0,75.82,3.29,Palghar
20190407,28.68,26.55,0.0,78.8,3.53,Palghar
20190408,29.94,26.16,0.0,78.1,3.8,Palghar
20190409,29.67,26.62,0.0,74.74,3.62,Palghar
20190410,29.09,26.23,0.0,75.77,3.98,Palghar
20190411,28.91,26.74,0.39,78.2,3.81,Palghar
20190412,29.95,27.11,0.47,75.66,3.19,Palghar
20190413,31.13,26.71,0.22,74.81,3.91,Palghar
20190414,30.83,27.22,0.42,75.17,3.09,Palghar
20190415,29.78,27.73,3.18,80.49,2.52,Palghar
20190416,29.88,27.52,0.75,72.15,3.75,Palghar
20190417,28.53,26.71,0.0,62.54,4.78,Palghar
20190418,28.29,26.36,0.0,69.45,5.11,Palghar
20190419,30.83,26.85,0.0,68.9,3.77,Palghar
20190420,30.87,26.75,0.01,70.59,2.84,Palghar
20190421,30.29,27.16,0.0,68.49,4.23,Palghar
20190422,30.2,27.0,0.0,68.05,4.26,Palghar
20190423,29.54,27.04,0.0,72.88,4.84,Palghar
20190424,29.46,27.02,0.03,76.99,5.04,Palghar
20190425,29.55,27.12,0.04,77.79,5.06,Palghar
20190426,30.55,27.47,0.22,79.58,4.41,Palghar
20190427,32.47,28.2,0.22,76.11,3.28,Palghar
20190428,32.16,28.3,0.41,76.87,2.75,Palghar
20190429,30.12,28.03,0.23,82.4,3.76,Palghar
20190430,29.97,27.2,0.02,81.18,4.14,Palghar
20190501,28.31,26.75,0.02,83.02,4.22,Palghar
20190502,28.8,26.24,0.0,77.67,4.0,Palghar
20190503,28.64,26.77,0.02,82.49,4.68,Palghar
20190504,29.14,27.05,0.1,76.99,4.57,Palghar
20190505,28.92,27.23,0.02,77.69,3.91,Palghar
20190506,29.59,27.06,0.02,77.38,3.9,Palghar
20190507,29.49,27.66,0.01,78.78,4.28,Palghar
20190508,29.22,27.77,0.0,77.56,4.59,Palghar
20190509,28.98,27.33,0.0,76.44,4.54,Palghar
20190510,29.16,27.56,0.01,75.23,4.28,Palghar
20190511,29.42,27.42,0.0,77.11,4.63,Palghar
20190512,29.45,27.51,0.01,80.57,4.61,Palghar
20190513,29.15,27.64,0.01,81.09,4.48,Palghar
20190514,28.83,27.14,0.01,81.04,4.05,Palghar
20190515,29.26,27.39,0.0,80.04,3.96,Palghar
20190516,29.54,27.22,0.07,77.28,3.63,Palghar
20190517,29.8,27.39,0.01,77.48,4.21,Palghar
20190518,31.36,28.28,0.0,73.04,4.48,Palghar
20190519,32.51,28.92,0.0,74.08,5.02,Palghar
20190520,31.22,29.13,0.0,76.98,5.49,Palghar
20190521,31.21,29.13,0.01,78.11,5.36,Palghar
20190522,30.04,28.74,0.01,80.8,4.76,Palghar
20190523,30.97,28.61,0.02,78.83,4.86,Palghar
20190524,30.41,28.41,0.02,81.48,3.72,Palghar
20190525,30.7,28.72,0.02,76.84,4.22,Palghar
20190526,29.97,28.5,0.05,80.87,3.95,Palghar
20190527,30.24,28.55,0.06,81.61,4.09,Palghar
20190528,30.46,28.42,0.02,81.12,4.55,Palghar
20190529,30.29,28.67,0.03,82.5,4.65,Palghar
20190530,30.06,28.6,0.03,84.27,4.47,Palghar
20190531,29.72,28.61,0.08,84.47,4.27,Palghar
20190601,30.73,28.82,0.1,78.79,4.65,Palghar
20190602,30.12,29.03,0.1,84.14,4.45,Palghar
20190603,30.01,29.24,0.13,84.79,5.13,Palghar
20190604,30.32,29.08,0.07,83.6,4.67,Palghar
20190605,29.7,28.96,0.29,83.14,4.33,Palghar
20190606,30.07,29.33,0.51,82.0,4.64,Palghar
20190607,30.02,29.36,2.04,82.95,4.12,Palghar
20190608,30.32,29.54,5.21,84.74,3.89,Palghar
20190609,30.11,29.32,2.89,84.03,3.61,Palghar
20190610,30.72,29.63,1.97,77.77,3.53,Palghar
20190611,30.0,29.03,18.7,81.92,2.68,Palghar
20190612,30.31,29.1,11.82,80.84,8.96,Palghar
20190613,30.82,29.27,5.15,76.33,10.22,Palghar
20190614,30.44,28.91,6.03,76.09,9.02,Palghar
20190615,30.34,29.23,10.29,80.45,8.58,Palghar
20190616,29.95,29.13,5.41,85.19,7.06,Palghar
20190617,29.96,28.94,4.42,84.64,6.63,Palghar
20190618,29.86,28.88,5.04,83.17,6.79,Palghar
20190619,29.49,28.6,4.16,83.57,5.08,Palghar
20190620,29.23,28.11,0.56,82.8,4.01,Palghar
20190621,29.56,28.01,0.3,80.8,3.59,Palghar
20190622,29.38,28.1,0.13,80.71,3.73,Palghar
20190623,29.45,28.45,0.62,81.15,3.84,Palghar
20190624,28.76,28.32,6.32,82.65,3.3,Palghar
20190625,30.02,28.25,4.02,79.24,3.23,Palghar
20190626,30.09,28.92,4.73,81.87,3.65,Palghar
20190627,29.9,28.85,23.71,85.26,4.86,Palghar
20190628,29.31,28.74,88.52,85.2,7.33,Palghar
20190629,29.08,28.79,49.56,86.84,6.19,Palghar
20190630,28.84,28.5,62.13,85.79,5.99,Palghar
20190701,28.92,28.15,82.27,86.23,5.61,Palghar
20190702,28.13,27.7,38.22,88.66,4.73,Palghar
20190703,28.16,27.72,28.1,87.94,4.51,Palghar
20190704,28.4,27.79,9.15,87.09,5.24,Palghar
20190705,29.27,27.9,39.76,87.08,6.59,Palghar
20190706,28.68,28.18,66.16,87.25,7.55,Palghar
20190707,28.71,28.03,40.75,87.43,7.08,Palghar
20190708,28.56,28.13,26.46,88.24,6.64,Palghar
20190709,29.09,28.26,25.13,86.77,6.87,Palghar
20190710,29.05,28.27,21.12,86.75,6.72,Palghar
20190711,29.1,28.27,15.94,85.21,6.86,Palghar
20190712,28.83,28.13,6.93,86.37,5.94,Palghar
20190713,28.88,27.84,9.49,87.39,6.21,Palghar
20190714,29.03,28.15,6.2,85.62,6.65,Palghar
20190715,28.95,28.05,3.99,85.13,6.48,Palghar
20190716,28.79,28.1,5.19,85.5,6.31,Palghar
20190717,28.87,28.0,4.27,85.83,4.84,Palghar
20190718,28.4,27.78,3.07,85.63,3.62,Palghar
20190719,28.88,27.85,6.28,81.74,2.7,Palghar
20190720,28.89,27.93,12.89,81.62,2.36,Palghar
20190721,29.21,27.5,7.28,83.33,1.41,Palghar
20190722,29.32,28.72,7.89,86.08,4.25,Palghar
20190723,29.06,28.68,9.2,85.66,4.76,Palghar
20190724,29.21,28.62,38.88,85.71,7.38,Palghar
20190725,29.43,28.77,23.78,83.9,7.12,Palghar
20190726,29.4,28.43,46.18,83.91,7.71,Palghar
20190727,28.81,28.46,26.62,83.28,8.46,Palghar
20190728,28.82,28.25,15.42,83.73,8.07,Palghar
20190729,28.55,27.9,70.46,84.6,8.31,Palghar
20190730,28.28,27.72,33.68,85.13,8.41,Palghar
20190731,28.59,27.9,48.62,83.89,8.34,Palghar
20190801,28.62,27.7,16.24,82.49,8.48,Palghar
20190802,28.35,27.63,54.24,84.21,8.89,Palghar
20190803,27.74,27.41,111.11,88.7,8.68,Palghar
20190804,28.07,27.43,115.67,89.09,8.21,Palghar
20190805,28.12,27.55,51.03,86.98,8.38,Palghar
20190806,28.17,27.7,10.94,86.7,8.05,Palghar
20190807,28.44,27.85,12.15,86.44,8.47,Palghar
20190808,28.23,27.79,11.05,85.85,8.04,Palghar
20190809,28.18,27.75,20.21,86.07,9.16,Palghar
20190810,28.22,27.53,17.8,84.72,9.78,Palghar
20190811,28.22,27.3,13.21,84.49,7.81,Palghar
20190812,28.08,27.22,3.88,85.21,5.63,Palghar
20190813,28.31,27.15,5.33,86.63,5.49,Palghar
20190814,28.08,27.27,6.23,87.16,4.76,Palghar
20190815,28.14,27.26,6.35,86.48,5.57,Palghar
20190816,28.28,27.43,7.75,85.61,6.23,Palghar
20190817,27.94,27.18,3.32,84.62,5.63,Palghar
