DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,31.53,10.58,0.0,13.46,1.36,Nandurbar
20190102,32.07,16.03,0.0,13.66,1.21,Nandurbar
20190103,30.29,9.81,0.0,15.17,1.58,Nandurbar
20190104,31.42,10.04,0.0,15.76,1.52,Nandurbar
20190105,32.27,13.68,0.0,16.57,1.37,Nandurbar
20190106,29.99,13.38,0.0,21.69,1.94,Nandurbar
20190107,27.84,7.78,0.0,20.92,2.15,Nandurbar
20190108,27.81,7.82,0.0,22.03,2.05,Nandurbar
20190109,28.77,10.05,0.0,19.68,1.59,Nandurbar
20190110,28.99,8.49,0.0,25.49,1.84,Nandurbar
20190111,29.89,9.6,0.0,22.6,1.55,Nandurbar
20190112,31.36,10.68,0.0,23.4,1.63,Nandurbar
20190113,29.39,11.7,0.0,28.53,1.4,Nandurbar
20190114,29.04,10.49,0.0,30.35,2.53,Nandurbar
20190115,29.04,9.78,0.0,29.16,2.29,Nandurbar
20190116,32.45,11.29,0.0,23.0,1.47,Nandurbar
20190117,32.5,15.47,0.0,19.67,1.31,Nandurbar
20190118,31.56,11.35,0.0,18.9,2.11,Nandurbar
20190119,32.65,11.74,0.0,17.4,2.15,Nandurbar
20190120,34.0,13.18,0.0,18.68,1.49,Nandurbar
20190121,32.71,15.57,0.0,29.71,2.71,Nandurbar
20190122,28.38,13.82,0.0,62.59,2.34,Nandurbar
20190123,28.28,13.35,0.0,51.33,1.76,Nandurbar
20190124,28.65,12.12,0.0,29.62,1.76,Nandurbar
20190125,26.39,10.17,0.0,30.83,2.25,Nandurbar
20190126,25.46,9.09,0.0,34.78,2.45,Nandurbar
20190127,25.67,8.69,0.0,29.51,2.57,Nandurbar
20190128,24.92,7.25,0.0,17.44,2.57,Nandurbar
20190129,26.44,6.0,0.0,18.05,2.52,Nandurbar
20190130,29.22,7.32,0.0,14.74,1.77,Nandurbar
20190131,30.04,10.71,0.0,15.03,1.7,Nandurbar
20190201,30.74,11.67,0.0,20.4,1.63,Nandurbar
20190202,30.48,11.33,0.0,33.7,1.81,Nandurbar
20190203,32.05,15.95,0.0,29.19,2.4,Nandurbar
20190204,33.51,17.6,0.0,30.55,2.71,Nandurbar
20190205,33.63,17.82,0.0,30.57,1.51,Nandurbar
20190206,32.76,16.54,0.0,40.18,2.77,Nandurbar
20190207,26.65,13.55,0.0,50.44,3.85,Nandurbar
20190208,24.8,9.21,0.0,42.64,2.75,Nandurbar
20190209,26.68,6.74,0.0,14.77,2.22,Nandurbar
20190210,29.3,6.88,0.0,14.45,2.14,Nandurbar
20190211,32.28,9.45,0.0,13.24,2.03,Nandurbar
20190212,35.01,12.34,0.0,19.35,1.74,Nandurbar
20190213,34.11,16.97,0.09,34.03,1.64,Nandurbar
20190214,33.19,18.76,0.04,38.1,2.22,Nandurbar
20190215,32.71,16.1,0.0,30.6,2.17,Nandurbar
20190216,30.79,13.38,0.0,24.53,1.54,Nandurbar
20190217,31.66,11.63,0.0,19.1,1.27,Nandurbar
20190218,34.69,14.77,0.0,19.6,1.79,Nandurbar
20190219,34.98,14.77,0.0,34.94,2.07,Nandurbar
20190220,38.0,16.74,0.0,23.74,1.91,Nandurbar
20190221,35.75,17.13,0.0,43.19,2.54,Nandurbar
20190222,36.28,17.54,0.0,40.2,2.22,Nandurbar
20190223,36.65,16.6,0.0,26.73,1.94,Nandurbar
20190224,34.18,17.49,0.0,16.07,2.18,Nandurbar
20190225,33.12,15.86,0.0,24.41,2.72,Nandurbar
20190226,30.77,16.97,0.0,43.58,3.75,Nandurbar
20190227,29.97,17.17,0.0,46.05,3.34,Nandurbar
20190228,30.0,13.11,0.0,21.05,2.23,Nandurbar
20190301,32.12,12.36,0.0,19.04,2.34,Nandurbar
20190302,37.68,15.63,0.0,21.16,3.4,Nandurbar
20190303,33.96,17.06,0.0,49.64,2.83,Nandurbar
20190304,32.96,18.72,0.0,48.8,3.41,Nandurbar
20190305,32.41,14.62,0.0,31.99,2.1,Nandurbar
20190306,32.09,14.68,0.0,33.66,1.97,Nandurbar
20190307,33.67,14.23,0.0,32.44,1.38,Nandurbar
20190308,35.6,18.8,0.0,24.84,1.44,Nandurbar
20190309,34.9,18.14,0.0,27.21,2.55,Nandurbar
20190310,36.13,17.27,0.0,22.48,2.18,Nandurbar
20190311,34.42,17.87,0.0,37.82,2.92,Nandurbar
20190312,36.07,16.86,0.0,31.45,1.88,Nandurbar
20190313,35.83,16.48,0.0,33.36,2.6,Nandurbar
20190314,34.49,17.53,0.0,35.69,2.96,Nandurbar
20190315,35.83,15.85,0.0,18.72,1.6,Nandurbar
20190316,37.9,16.86,0.0,17.98,2.05,Nandurbar
20190317,37.55,18.74,0.0,17.16,2.39,Nandurbar
20190318,37.57,18.99,0.0,15.93,1.87,Nandurbar
20190319,38.22,19.2,0.0,14.84,1.52,Nandurbar
20190320,38.19,19.05,0.0,25.69,2.26,Nandurbar
20190321,36.98,17.83,0.0,32.5,2.17,Nandurbar
20190322,37.17,17.41,0.0,30.75,1.7,Nandurbar
20190323,38.97,19.29,0.0,16.89,1.53,Nandurbar
20190324,39.42,20.19,0.0,16.89,1.48,Nandurbar
20190325,40.96,22.85,0.0,17.61,2.05,Nandurbar
20190326,40.43,21.23,0.0,18.82,2.01,Nandurbar
20190327,40.12,19.83,0.0,13.29,1.41,Nandurbar
20190328,41.55,23.28,0.0,11.77,1.0,Nandurbar
20190329,42.18,21.9,0.0,16.97,1.23,Nandurbar
20190330,41.59,21.84,0.0,26.57,2.13,Nandurbar
20190331,40.94,21.98,0.0,28.6,3.35,Nandurbar
20190401,41.32,20.59,0.0,28.67,2.49,Nandurbar
20190402,41.18,20.43,0.0,30.16,1.47,Nandurbar
20190403,42.21,21.58,0.0,29.85,1.94,Nandurbar
20190404,43.47,22.19,0.0,24.47,2.42,Nandurbar
20190405,41.2,23.04,0.0,32.56,4.04,Nandurbar
20190406,41.46,21.69,0.0,35.69,3.61,Nandurbar
20190407,41.74,22.97,0.0,31.41,3.09,Nandurbar
20190408,42.01,22.66,0.0,31.29,3.22,Nandurbar
20190409,41.44,23.71,0.0,28.48,3.83,Nandurbar
20190410,41.6,21.15,0.0,32.26,2.55,Nandurbar
20190411,42.94,22.29,0.0,31.8,2.73,Nandurbar
20190412,43.12,22.92,0.0,30.07,2.37,Nandurbar
20190413,42.82,22.99,0.0,29.28,1.75,Nandurbar
20190414,43.17,25.11,0.01,22.23,1.71,Nandurbar
20190415,41.22,26.72,1.11,27.1,2.36,Nandurbar
20190416,36.6,25.23,7.53,36.32,2.91,Nandurbar
20190417,35.19,22.08,0.02,34.75,3.02,Nandurbar
20190418,37.03,20.0,0.0,40.35,1.98,Nandurbar
20190419,39.39,21.32,0.0,27.82,2.13,Nandurbar
20190420,40.28,21.78,0.0,21.96,1.73,Nandurbar
20190421,40.34,21.59,0.0,26.35,2.27,Nandurbar
20190422,41.27,21.25,0.0,31.42,2.14,Nandurbar
20190423,42.4,22.34,0.0,30.54,1.77,Nandurbar
20190424,43.62,24.33,0.0,27.36,2.83,Nandurbar
20190425,44.03,25.53,0.0,20.92,3.24,Nandurbar
20190426,44.8,26.03,0.0,21.81,2.86,Nandurbar
20190427,45.71,27.57,0.0,16.12,3.01,Nandurbar
20190428,45.24,26.89,0.0,11.45,3.21,Nandurbar
20190429,44.14,25.76,0.0,19.06,3.8,Nandurbar
20190430,43.63,25.06,0.0,25.63,4.58,Nandurbar
20190501,40.53,22.86,0.0,37.0,4.55,Nandurbar
20190502,40.69,22.1,0.0,39.83,4.05,Nandurbar
20190503,40.01,22.74,0.0,42.79,5.09,Nandurbar
20190504,39.61,23.05,0.0,48.29,4.56,Nandurbar
20190505,40.22,22.23,0.0,46.47,3.57,Nandurbar
20190506,41.45,23.39,0.0,39.41,3.27,Nandurbar
20190507,41.7,24.26,0.0,33.77,4.5,Nandurbar
20190508,40.01,23.57,0.0,44.56,4.56,Nandurbar
20190509,39.34,23.43,0.0,47.4,4.35,Nandurbar
20190510,39.09,24.39,0.0,42.5,4.07,Nandurbar
20190511,40.8,22.7,0.0,43.29,3.9,Nandurbar
20190512,42.47,23.9,0.0,43.84,3.68,Nandurbar
20190513,41.82,24.9,0.0,42.38,4.29,Nandurbar
20190514,41.21,24.12,0.0,42.58,4.19,Nandurbar
20190515,40.83,23.63,0.0,42.59,3.88,Nandurbar
20190516,39.82,23.47,0.0,39.91,4.07,Nandurbar
20190517,40.34,24.33,0.0,39.12,4.1,Nandurbar
20190518,40.41,24.56,0.0,37.15,3.75,Nandurbar
20190519,41.57,25.59,0.0,26.31,2.93,Nandurbar
20190520,42.5,25.44,0.0,29.09,2.77,Nandurbar
20190521,43.07,26.36,0.0,32.46,3.6,Nandurbar
20190522,42.72,25.99,0.0,36.05,4.12,Nandurbar
20190523,42.76,25.9,0.0,40.5,4.44,Nandurbar
20190524,41.28,25.57,0.0,43.15,4.88,Nandurbar
20190525,41.81,25.38,0.0,39.4,3.76,Nandurbar
20190526,41.95,25.02,0.0,40.03,4.29,Nandurbar
20190527,42.07,25.44,0.0,39.72,4.37,Nandurbar
20190528,42.89,25.16,0.0,40.06,4.63,Nandurbar
20190529,43.72,25.86,0.0,37.41,4.04,Nandurbar
20190530,43.53,26.05,0.0,37.78,4.37,Nandurbar
20190531,43.78,26.11,0.0,42.04,4.51,Nandurbar
20190601,42.55,26.05,0.0,48.37,4.87,Nandurbar
20190602,41.95,27.04,0.0,47.7,4.58,Nandurbar
20190603,41.78,27.48,0.0,45.01,5.74,Nandurbar
20190604,42.94,26.01,0.0,43.15,5.19,Nandurbar
20190605,44.09,26.08,0.0,40.82,4.57,Nandurbar
20190606,41.56,26.58,0.02,45.45,4.98,Nandurbar
20190607,38.34,26.72,1.42,49.47,4.16,Nandurbar
20190608,40.86,27.41,0.67,47.01,3.76,Nandurbar
20190609,42.9,27.07,0.01,43.43,4.52,Nandurbar
20190610,41.93,26.66,0.02,44.86,5.1,Nandurbar
20190611,42.58,26.96,0.26,43.22,3.63,Nandurbar
20190612,41.04,29.27,0.43,49.51,3.56,Nandurbar
20190613,39.42,26.94,6.11,53.4,4.23,Nandurbar
20190614,39.02,25.87,0.65,50.31,4.05,Nandurbar
20190615,38.14,25.57,3.02,56.27,4.01,Nandurbar
20190616,37.93,25.65,0.52,60.52,4.85,Nandurbar
20190617,37.87,26.01,0.43,59.12,5.14,Nandurbar
20190618,37.61,25.44,0.74,58.58,5.77,Nandurbar
20190619,35.78,25.75,6.43,65.48,4.79,Nandurbar
20190620,36.68,24.9,0.1,63.87,4.05,Nandurbar
20190621,37.1,25.12,0.34,62.65,3.63,Nandurbar
20190622,37.82,25.13,2.32,60.81,3.64,Nandurbar
20190623,35.8,25.63,9.14,67.56,3.72,Nandurbar
20190624,34.17,25.13,19.64,73.48,2.66,Nandurbar
20190625,36.49,25.42,5.37,70.35,2.07,Nandurbar
20190626,32.92,25.06,4.12,74.34,4.08,Nandurbar
20190627,34.5,25.5,4.8,73.59,3.82,Nandurbar
20190628,30.52,25.47,13.11,80.72,3.01,Nandurbar
20190629,30.61,25.29,14.57,79.7,4.19,Nandurbar
20190630,30.58,24.95,30.1,84.47,4.2,Nandurbar
20190701,30.51,24.77,26.77,84.67,3.5,Nandurbar
20190702,30.54,24.77,17.63,85.34,3.5,Nandurbar
20190703,29.11,24.18,9.85,86.73,4.2,Nandurbar
20190704,28.53,23.39,9.28,85.14,5.22,Nandurbar
20190705,28.83,24.18,18.87,87.61,5.74,Nandurbar
20190706,27.98,23.57,27.18,91.02,4.94,Nandurbar
20190707,28.16,23.72,12.07,89.95,4.57,Nandurbar
20190708,28.86,24.53,4.86,88.57,4.33,Nandurbar
20190709,30.34,24.46,1.81,86.11,4.05,Nandurbar
20190710,31.08,24.7,0.93,84.53,3.93,Nandurbar
20190711,31.87,24.41,0.3,82.9,4.9,Nandurbar
20190712,30.97,24.33,1.87,83.78,4.41,Nandurbar
20190713,31.1,23.8,0.74,83.33,4.4,Nandurbar
20190714,31.32,24.36,0.22,82.36,5.26,Nandurbar
20190715,31.78,24.27,0.11,81.65,5.33,Nandurbar
20190716,31.57,24.34,0.08,81.82,4.94,Nandurbar
20190717,32.46,23.99,0.02,80.17,3.62,Nandurbar
20190718,32.78,24.07,0.01,78.37,2.69,Nandurbar
20190719,32.76,23.68,15.41,75.76,1.36,Nandurbar
20190720,32.02,24.42,27.21,78.93,1.31,Nandurbar
20190721,31.82,25.08,28.31,83.26,0.96,Nandurbar
20190722,33.82,24.94,0.08,78.66,1.26,Nandurbar
20190723,34.15,26.01,0.18,79.05,1.42,Nandurbar
20190724,30.94,25.45,4.68,87.25,2.65,Nandurbar
20190725,28.87,25.08,6.06,86.52,4.99,Nandurbar
20190726,30.05,24.34,14.29,86.01,5.32,Nandurbar
20190727,29.5,24.49,10.73,86.83,6.5,Nandurbar
20190728,28.14,24.08,12.02,88.55,5.87,Nandurbar
20190729,28.8,24.28,28.3,89.55,5.23,Nandurbar
20190730,27.46,23.52,27.65,90.77,5.41,Nandurbar
20190731,28.66,23.64,46.28,89.64,6.4,Nandurbar
20190801,28.35,23.7,70.61,89.34,6.34,Nandurbar
20190802,27.88,23.73,13.83,90.47,5.28,Nandurbar
20190803,27.76,23.73,39.55,91.54,4.84,Nandurbar
20190804,28.29,24.61,29.8,93.08,4.1,Nandurbar
20190805,28.69,23.48,10.03,89.07,4.56,Nandurbar
20190806,28.66,23.82,1.72,91.14,4.77,Nandurbar
20190807,29.01,23.75,18.92,90.19,5.0,Nandurbar
20190808,27.42,23.91,34.43,92.17,5.32,Nandurbar
20190809,26.31,23.16,53.41,92.83,6.66,Nandurbar
20190810,28.53,23.07,12.44,90.26,5.95,Nandurbar
20190811,29.07,22.82,4.61,89.38,3.91,Nandurbar
20190812,29.47,22.74,0.31,88.94,2.81,Nandurbar
20190813,28.98,23.35,0.21,90.33,2.68,Nandurbar
20190814,27.74,23.84,2.14,91.92,2.95,Nandurbar
20190815,27.27,23.48,5.65,92.44,3.42,Nandurbar
20190816,29.58,23.3,10.27,88.79,4.73,Nandurbar
20190817,29.83,23.01,4.7,87.98,3.56,Nandurbar
20190818,29.7,22.65,1.92,88.29,2.86,Nandurbar
20190819,29.7,22.54,0.15,87.58,2.7,Nandurbar
20190820,29.58,23.09,0.21,88.24,2.82,Nandurbar
20190821,29.37,23.15,0.05,88.58,2.93,Nandurbar
20190822,29.62,23.21,0.03,87.33,2.61,Nandurbar
20190823,29.58,22.38,0.52,85.58,2.73,Nandurbar
20190824,28.32,22.44,0.95,87.24,2.69,Nandurbar
20190825,27.39,23.09,8.86,91.33,2.88,Nandurbar
20190826,27.09,22.81,23.18,91.89,3.51,Nandurbar
20190827,27.51,22.95,25.9,91.25,3.47,Nandurbar
20190828,27.83,22.75,15.36,91.12,2.76,Nandurbar
20190829,29.94,22.81,1.68,85.54,1.08,Nandurbar
20190830,30.12,23.43,4.05,87.29,1.87,Nandurbar
20190831,30.39,23.25,16.28,88.59,2.22,Nandurbar
20190901,28.1,23.59,13.49,92.5,2.66,Nandurbar
20190902,28.71,23.31,4.09,90.65,2.72,Nandurbar
20190903,29.77,23.38,3.21,89.19,2.46,Nandurbar
20190904,29.63,23.54,13.05,87.49,1.16,Nandurbar
20190905,29.3,23.93,5.33,90.73,1.22,Nandurbar
20190906,28.23,24.08,1.14,92.45,3.03,Nandurbar
20190907,28.44,24.27,3.76,92.02,2.94,Nandurbar
20190908,28.51,23.92,13.67,92.73,2.54,Nandurbar
20190909,28.01,23.4,23.08,93.11,2.83,Nandurbar
20190910,28.9,24.06,25.34,92.42,2.43,Nandurbar
20190911,26.28,24.01,10.35,95.03,3.49,Nandurbar
20190912,27.36,23.71,10.22,93.02,3.36,Nandurbar
20190913,26.84,23.54,14.4,93.15,2.91,Nandurbar
20190914,26.6,23.6,9.18,94.06,2.91,Nandurbar
20190915,27.78,23.25,0.77,91.17,2.9,Nandurbar
20190916,28.83,23.44,1.8,90.91,2.95,Nandurbar
20190917,29.91,23.9,2.2,90.14,2.26,Nandurbar
20190918,28.97,23.64,9.94,92.4,1.48,Nandurbar
20190919,28.27,24.14,10.74,92.58,2.26,Nandurbar
20190920,29.74,23.59,13.42,88.24,1.8,Nandurbar
20190921,31.07,23.26,4.46,85.03,0.82,Nandurbar
20190922,30.75,23.61,8.14,86.34,0.79,Nandurbar
20190923,30.15,23.8,13.28,89.36,0.98,Nandurbar
20190924,29.51,22.98,1.35,87.39,1.16,Nandurbar
20190925,27.48,23.35,11.68,92.4,1.33,Nandurbar
20190926,28.24,23.58,9.46,91.72,2.23,Nandurbar
20190927,27.77,23.25,9.12,91.79,2.09,Nandurbar
20190928,27.65,22.63,1.74,91.88,2.17,Nandurbar
20190929,28.4,22.1,4.92,90.52,1.83,Nandurbar
20190930,29.24,22.24,11.81,89.96,2.27,Nandurbar
20191001,27.1,22.7,6.65,93.05,3.5,Nandurbar
20191002,28.93,22.48,0.27,89.29,2.39,Nandurbar
20191003,29.51,21.45,0.55,87.65,1.33,Nandurbar
20191004,28.45,21.77,2.51,87.04,1.05,Nandurbar
20191005,28.6,21.28,2.5,85.62,1.06,Nandurbar
20191006,28.94,22.12,2.92,82.23,0.87,Nandurbar
20191007,29.47,22.16,0.63,79.67,0.76,Nandurbar
20191008,30.35,21.71,0.25,81.35,1.03,Nandurbar
20191009,30.27,21.53,0.18,82.66,1.05,Nandurbar
20191010,30.45,21.07,0.51,79.29,1.19,Nandurbar
20191011,30.22,21.95,0.49,78.06,0.78,Nandurbar
20191012,29.62,21.33,0.14,81.73,1.26,Nandurbar
20191013,29.59,21.54,0.01,82.57,1.41,Nandurbar
20191014,30.14,19.94,0.0,75.31,1.42,Nandurbar
20191015,30.15,19.93,0.0,76.55,1.45,Nandurbar
20191016,29.71,19.43,0.0,78.96,1.56,Nandurbar
20191017,29.27,18.66,0.0,81.29,1.7,Nandurbar
20191018,28.17,19.5,0.08,84.76,1.71,Nandurbar
20191019,27.22,20.73,1.77,88.46,1.83,Nandurbar
20191020,26.91,20.28,1.34,88.76,1.95,Nandurbar
20191021,26.75,20.33,0.57,88.97,2.1,Nandurbar
20191022,24.8,20.7,7.42,94.09,2.3,Nandurbar
20191023,26.09,20.54,7.53,90.57,2.44,Nandurbar
20191024,27.26,19.09,3.88,87.12,2.27,Nandurbar
20191025,26.23,18.62,0.6,84.44,2.82,Nandurbar
20191026,25.25,18.68,3.17,91.98,3.12,Nandurbar
20191027,27.55,20.5,4.6,89.75,2.15,Nandurbar
20191028,29.27,21.46,1.13,82.91,1.48,Nandurbar
20191029,28.06,21.3,10.28,90.37,1.86,Nandurbar
20191030,28.66,21.12,1.1,88.78,1.29,Nandurbar
20191031,29.86,21.34,1.07,85.98,1.73,Nandurbar
20191101,27.66,21.19,4.75,87.33,2.52,Nandurbar
20191102,25.73,21.02,16.61,91.73,1.45,Nandurbar
20191103,29.47,20.42,0.43,81.11,0.81,Nandurbar
20191104,29.07,19.21,0.0,82.73,1.05,Nandurbar
20191105,29.83,20.4,0.0,80.48,0.77,Nandurbar
20191106,29.51,20.89,0.01,81.2,0.77,Nandurbar
20191107,28.56,20.82,2.35,84.01,1.16,Nandurbar
20191108,28.88,20.32,0.48,80.18,1.04,Nandurbar
20191109,29.22,19.89,1.26,80.01,1.06,Nandurbar
20191110,28.8,19.05,0.0,82.71,1.43,Nandurbar
20191111,29.21,18.42,0.0,80.14,1.57,Nandurbar
20191112,29.22,18.18,0.0,80.41,1.53,Nandurbar
20191113,25.77,18.06,0.0,84.65,1.72,Nandurbar
20191114,26.89,17.3,0.0,80.33,2.06,Nandurbar
20191115,27.14,15.36,0.0,80.69,1.84,Nandurbar
20191116,27.87,16.91,0.0,80.35,1.35,Nandurbar
20191117,27.78,17.0,0.0,80.49,1.67,Nandurbar
20191118,27.15,14.47,0.0,77.9,1.58,Nandurbar
20191119,27.25,14.71,0.0,76.89,1.24,Nandurbar
20191120,27.07,14.27,0.0,80.2,1.52,Nandurbar
20191121,26.11,16.07,0.0,84.0,1.91,Nandurbar
20191122,27.77,15.69,0.0,80.23,1.57,Nandurbar
20191123,27.27,15.3,0.0,80.59,1.54,Nandurbar
20191124,27.41,15.73,0.0,80.6,1.66,Nandurbar
20191125,27.82,14.62,0.0,81.01,2.07,Nandurbar
20191126,27.79,15.76,0.0,81.45,1.97,Nandurbar
20191127,28.81,16.44,0.0,79.89,1.8,Nandurbar
20191128,28.79,15.96,0.0,78.14,1.81,Nandurbar
20191129,28.9,16.17,0.0,77.3,1.4,Nandurbar
20191130,28.58,16.4,0.12,79.27,1.77,Nandurbar
20191201,28.68,17.33,0.03,79.2,1.16,Nandurbar
20191202,27.62,17.73,0.0,81.94,1.99,Nandurbar
20191203,27.45,17.97,0.0,80.75,2.79,Nandurbar
20191204,27.21,17.78,0.0,82.68,2.93,Nandurbar
20191205,26.31,18.6,0.0,79.71,2.67,Nandurbar
20191206,25.07,15.52,0.0,66.87,2.45,Nandurbar
20191207,26.32,13.38,0.0,75.37,2.27,Nandurbar
20191208,26.75,12.97,0.0,77.04,1.87,Nandurbar
20191209,27.0,13.53,0.0,78.89,1.66,Nandurbar
20191210,28.1,14.68,0.0,76.76,1.27,Nandurbar
20191211,29.49,15.18,0.0,74.47,1.42,Nandurbar
20191212,28.61,15.95,0.03,64.06,1.48,Nandurbar
20191213,27.74,14.95,0.0,72.19,1.95,Nandurbar
20191214,27.63,13.52,0.0,72.48,1.18,Nandurbar
20191215,27.28,11.6,0.0,72.78,1.51,Nandurbar
20191216,25.47,12.19,0.0,79.57,2.28,Nandurbar
20191217,25.64,12.55,0.0,75.81,2.89,Nandurbar
20191218,26.87,11.69,0.0,74.54,1.95,Nandurbar
20191219,27.92,13.52,0.0,77.26,1.4,Nandurbar
20191220,28.82,14.05,0.0,73.86,1.21,Nandurbar
20191221,28.76,15.46,0.0,73.24,1.59,Nandurbar
20191222,27.77,14.91,0.0,74.14,2.45,Nandurbar
20191223,27.93,15.86,0.02,74.84,2.81,Nandurbar
20191224,29.35,17.66,0.02,76.79,2.13,Nandurbar
20191225,28.19,16.46,0.13,75.01,1.41,Nandurbar
20191226,26.76,12.8,0.02,67.71,1.72,Nandurbar
20191227,24.44,8.84,0.0,59.88,3.14,Nandurbar
20191228,24.47,5.98,0.0,56.86,3.33,Nandurbar
20191229,25.1,7.34,0.0,61.88,2.74,Nandurbar
20191230,26.47,11.03,0.0,65.18,2.94,Nandurbar
20191231,26.65,11.55,0.0,76.26,1.89,Nandurbar
20200101,26.87,13.72,0.0,73.75,1.66,Nandurbar
20200102,27.49,12.65,0.0,73.49,1.88,Nandurbar
20200103,25.77,11.28,0.0,71.8,1.35,Nandurbar
20200104,24.68,10.15,0.0,69.21,2.01,Nandurbar
20200105,25.04,9.14,0.0,62.6,2.88,Nandurbar
20200106,27.89,9.27,0.0,65.76,2.66,Nandurbar
20200107,29.86,12.44,0.0,68.81,1.9,Nandurbar
20200108,27.46,14.42,0.0,69.43,2.3,Nandurbar
20200109,25.19,9.26,0.0,63.05,2.16,Nandurbar
20200110,24.49,6.99,0.0,58.77,3.28,Nandurbar
20200111,27.1,7.72,0.0,61.5,2.55,Nandurbar
20200112,28.69,11.26,0.0,61.93,1.82,Nandurbar
20200113,27.98,14.77,0.0,72.72,1.94,Nandurbar
20200114,27.42,14.96,0.0,72.45,1.52,Nandurbar
20200115,27.29,12.19,0.0,64.88,1.88,Nandurbar
20200116,23.8,9.91,0.0,49.73,2.37,Nandurbar
20200117,24.73,8.48,0.0,52.33,0.92,Nandurbar
20200118,27.5,8.49,0.0,51.84,1.41,Nandurbar
20200119,27.05,8.81,0.0,57.91,2.06,Nandurbar
20200120,28.89,9.37,0.0,59.37,2.17,Nandurbar
20200121,31.73,12.87,0.0,56.0,1.83,Nandurbar
20200122,31.76,13.19,0.0,50.03,1.63,Nandurbar
20200123,29.66,12.73,0.0,59.0,2.2,Nandurbar
20200124,30.73,11.94,0.0,53.78,2.07,Nandurbar
20200125,32.53,13.7,0.0,42.96,1.38,Nandurbar
20200126,32.96,13.71,0.0,38.38,1.07,Nandurbar
20200127,33.34,16.51,0.0,35.04,2.47,Nandurbar
