DATE,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,DISTRICT
20190101,30.87,12.37,0.0,17.42,1.56,Parbhani
20190102,31.95,11.01,0.0,20.46,1.24,Parbhani
20190103,31.04,12.87,0.0,19.19,1.18,Parbhani
20190104,31.29,11.06,0.0,22.14,1.49,Parbhani
20190105,31.47,11.55,0.0,26.82,1.47,Parbhani
20190106,31.22,13.19,0.0,31.59,1.62,Parbhani
20190107,29.78,11.35,0.0,23.79,2.12,Parbhani
20190108,28.75,9.24,0.0,20.29,1.79,Parbhani
20190109,30.46,12.78,0.0,18.65,1.13,Parbhani
20190110,30.2,9.96,0.0,21.22,1.33,Parbhani
20190111,30.76,10.25,0.0,27.8,1.43,Parbhani
20190112,31.85,12.4,0.0,41.22,1.71,Parbhani
20190113,31.25,14.06,0.0,35.8,1.27,Parbhani
20190114,30.32,13.92,0.0,36.79,1.93,Parbhani
20190115,29.9,12.94,0.0,38.75,1.61,Parbhani
20190116,31.23,12.94,0.0,29.75,1.38,Parbhani
20190117,31.98,13.98,0.0,23.02,1.36,Parbhani
20190118,31.77,13.63,0.0,23.64,1.34,Parbhani
20190119,31.4,12.58,0.0,21.88,1.49,Parbhani
20190120,32.68,13.31,0.0,18.8,1.75,Parbhani
20190121,32.89,12.74,0.0,24.53,2.33,Parbhani
20190122,31.29,13.47,0.0,28.53,1.51,Parbhani
20190123,30.94,13.88,0.0,37.06,1.46,Parbhani
20190124,31.21,14.08,0.0,38.44,1.54,Parbhani
20190125,30.95,16.42,0.18,39.28,2.29,Parbhani
20190126,25.74,15.55,0.59,63.39,3.43,Parbhani
20190127,26.63,13.53,0.01,60.19,2.6,Parbhani
20190128,26.48,10.66,0.0,30.57,2.88,Parbhani
20190129,26.66,7.73,0.0,21.06,2.23,Parbhani
20190130,28.94,8.28,0.0,20.42,1.84,Parbhani
20190131,30.23,8.87,0.0,25.73,2.25,Parbhani
20190201,31.46,13.08,0.0,47.68,1.64,Parbhani
20190202,31.48,16.11,0.0,44.89,2.63,Parbhani
20190203,32.04,16.58,0.0,32.78,3.16,Parbhani
20190204,32.33,16.03,0.0,30.83,2.89,Parbhani
20190205,32.96,15.65,0.0,33.55,2.0,Parbhani
20190206,34.1,16.31,0.0,33.15,1.89,Parbhani
20190207,32.36,18.85,0.0,31.76,2.47,Parbhani
20190208,30.63,14.41,0.0,30.98,3.03,Parbhani
20190209,28.59,10.56,0.0,15.06,2.78,Parbhani
20190210,30.97,8.82,0.0,14.76,2.06,Parbhani
20190211,32.59,10.83,0.0,21.23,1.95,Parbhani
20190212,33.67,15.18,0.0,33.5,2.5,Parbhani
20190213,34.32,17.88,0.0,34.32,2.21,Parbhani
20190214,35.41,16.6,0.0,28.51,1.75,Parbhani
20190215,35.34,17.8,0.15,28.93,1.85,Parbhani
20190216,33.74,16.59,0.06,23.74,2.5,Parbhani
20190217,32.72,14.19,0.0,21.91,2.09,Parbhani
20190218,35.24,14.75,0.0,17.17,1.39,Parbhani
20190219,36.96,15.86,0.0,20.07,1.54,Parbhani
20190220,37.25,17.82,0.04,28.99,2.48,Parbhani
20190221,37.16,22.66,0.28,32.67,2.14,Parbhani
20190222,37.16,23.48,0.0,29.2,1.11,Parbhani
20190223,37.6,20.1,0.0,28.08,1.53,Parbhani
20190224,38.08,20.69,0.0,21.22,2.06,Parbhani
20190225,36.16,19.53,0.0,16.7,2.56,Parbhani
20190226,34.5,18.31,0.0,17.68,2.91,Parbhani
20190227,33.82,16.86,0.0,25.92,2.91,Parbhani
20190228,31.98,16.1,0.0,25.42,2.66,Parbhani
20190301,33.69,14.18,0.0,21.4,2.17,Parbhani
20190302,36.26,17.45,0.0,32.5,2.61,Parbhani
20190303,37.21,20.57,0.0,25.47,2.05,Parbhani
20190304,37.22,18.01,0.0,28.73,2.42,Parbhani
20190305,34.36,18.91,0.0,25.27,2.99,Parbhani
20190306,34.11,16.87,0.0,18.57,2.57,Parbhani
20190307,34.51,16.0,0.0,20.69,2.22,Parbhani
20190308,36.51,16.22,0.0,19.24,1.65,Parbhani
20190309,37.21,18.92,0.0,20.76,2.11,Parbhani
20190310,38.21,18.66,0.0,21.22,1.87,Parbhani
20190311,38.68,19.67,0.0,19.3,1.78,Parbhani
20190312,37.6,20.39,0.0,23.94,2.29,Parbhani
20190313,38.01,21.04,0.0,22.06,1.42,Parbhani
20190314,37.22,21.43,0.0,20.82,2.84,Parbhani
20190315,37.65,21.98,0.0,19.83,1.86,Parbhani
20190316,39.26,20.57,0.0,20.28,1.95,Parbhani
20190317,39.59,22.49,0.0,21.6,3.47,Parbhani
20190318,38.92,19.87,0.0,15.25,2.32,Parbhani
20190319,39.17,19.76,0.0,18.96,1.78,Parbhani
20190320,38.93,20.83,0.08,25.36,2.0,Parbhani
20190321,37.92,21.68,0.01,20.1,2.93,Parbhani
20190322,38.58,20.4,0.53,19.45,2.17,Parbhani
20190323,39.48,20.68,0.0,18.2,2.68,Parbhani
20190324,39.48,21.47,0.0,22.57,2.79,Parbhani
20190325,40.75,21.85,0.0,20.0,1.72,Parbhani
20190326,41.05,24.23,0.01,17.96,2.58,Parbhani
20190327,40.42,21.49,0.0,15.44,2.38,Parbhani
20190328,41.02,21.12,0.0,12.91,2.13,Parbhani
20190329,41.71,22.13,0.0,13.63,1.85,Parbhani
20190330,41.82,22.56,0.0,15.22,1.17,Parbhani
20190331,41.8,24.53,0.01,16.35,2.08,Parbhani
20190401,41.75,23.7,0.0,14.03,3.21,Parbhani
20190402,41.92,22.13,0.0,14.17,2.21,Parbhani
20190403,42.29,23.2,0.0,13.25,1.84,Parbhani
20190404,42.24,25.65,0.03,21.89,1.2,Parbhani
20190405,41.75,26.74,0.01,22.72,2.28,Parbhani
20190406,42.43,24.08,0.03,19.5,2.08,Parbhani
20190407,41.93,24.79,0.0,17.92,2.5,Parbhani
20190408,42.33,24.33,0.0,16.97,2.29,Parbhani
20190409,42.85,23.73,0.0,14.87,2.61,Parbhani
20190410,42.49,23.61,0.0,15.28,2.28,Parbhani
20190411,43.3,24.04,0.0,15.12,2.17,Parbhani
20190412,43.22,24.47,0.06,15.55,2.11,Parbhani
20190413,43.07,26.01,0.25,15.95,1.43,Parbhani
20190414,43.22,27.09,0.14,18.27,1.25,Parbhani
20190415,41.48,29.5,0.98,23.69,1.96,Parbhani
20190416,40.91,27.83,1.13,26.37,2.16,Parbhani
20190417,38.93,26.58,0.8,30.24,3.0,Parbhani
20190418,39.52,21.73,0.0,15.95,2.17,Parbhani
20190419,40.24,22.54,0.0,21.37,2.41,Parbhani
20190420,41.54,23.09,0.0,20.77,1.52,Parbhani
20190421,41.6,24.11,0.0,18.49,2.79,Parbhani
20190422,41.5,24.97,0.0,18.76,2.95,Parbhani
20190423,42.06,24.46,0.0,20.92,1.36,Parbhani
20190424,42.93,25.21,0.0,16.25,1.34,Parbhani
20190425,44.09,25.54,0.0,16.07,1.98,Parbhani
20190426,44.8,27.68,0.0,16.15,2.03,Parbhani
20190427,45.46,27.99,0.0,16.1,1.97,Parbhani
20190428,45.79,28.03,0.0,13.26,3.18,Parbhani
20190429,45.48,28.22,0.0,12.4,2.54,Parbhani
20190430,44.97,27.26,0.0,14.63,2.9,Parbhani
20190501,42.79,25.98,0.0,16.48,3.41,Parbhani
20190502,43.16,26.6,0.0,18.52,4.17,Parbhani
20190503,41.88,25.32,0.0,21.07,4.05,Parbhani
20190504,41.4,24.39,0.0,23.39,3.19,Parbhani
20190505,41.46,25.1,0.0,25.54,3.38,Parbhani
20190506,42.33,25.92,0.0,20.42,3.1,Parbhani
20190507,43.3,26.18,0.0,17.27,3.29,Parbhani
20190508,42.1,26.08,0.0,21.08,4.32,Parbhani
20190509,42.48,25.79,0.0,26.69,3.89,Parbhani
20190510,41.68,26.41,0.0,27.14,3.24,Parbhani
20190511,41.19,27.26,0.0,23.07,3.08,Parbhani
20190512,42.87,26.07,0.0,20.88,2.69,Parbhani
20190513,42.88,27.98,0.0,22.06,3.17,Parbhani
20190514,42.93,27.39,0.0,21.06,3.34,Parbhani
20190515,43.21,26.47,0.0,19.83,2.97,Parbhani
20190516,42.63,26.47,0.0,20.83,3.8,Parbhani
20190517,42.59,26.39,0.0,21.11,4.02,Parbhani
20190518,42.06,27.64,0.0,23.79,4.21,Parbhani
20190519,43.01,27.62,0.0,19.95,3.5,Parbhani
20190520,44.06,27.5,0.0,17.29,2.61,Parbhani
20190521,44.52,29.18,0.0,18.02,2.43,Parbhani
20190522,44.3,29.46,0.36,20.95,3.27,Parbhani
20190523,43.94,28.84,0.0,19.94,3.29,Parbhani
20190524,43.78,28.49,0.0,22.78,3.51,Parbhani
20190525,43.3,28.91,0.0,23.83,4.13,Parbhani
20190526,44.32,29.08,0.0,20.53,4.13,Parbhani
20190527,44.32,29.13,0.0,23.5,4.68,Parbhani
20190528,44.68,28.06,0.0,21.45,4.97,Parbhani
20190529,44.77,28.05,0.0,21.44,3.5,Parbhani
20190530,44.34,30.04,0.0,22.16,3.34,Parbhani
20190531,44.26,31.34,0.15,22.69,2.6,Parbhani
20190601,44.13,31.03,0.0,24.16,2.67,Parbhani
20190602,44.15,30.73,0.01,25.15,3.19,Parbhani
20190603,40.31,30.78,0.59,32.11,3.98,Parbhani
20190604,44.32,29.0,0.0,26.44,3.21,Parbhani
20190605,44.87,29.43,3.3,26.8,3.66,Parbhani
20190606,44.54,30.83,0.25,26.19,4.11,Parbhani
20190607,42.83,30.72,0.13,27.7,3.02,Parbhani
20190608,39.6,31.92,5.69,42.52,2.91,Parbhani
20190609,36.44,27.6,0.05,51.67,2.26,Parbhani
20190610,42.21,28.58,0.2,37.8,3.34,Parbhani
20190611,42.47,28.96,0.0,39.35,4.18,Parbhani
20190612,40.49,27.91,0.0,45.7,5.39,Parbhani
20190613,36.15,27.9,0.02,47.99,4.32,Parbhani
20190614,40.04,26.93,0.0,37.98,4.49,Parbhani
20190615,41.1,26.96,0.08,38.37,4.77,Parbhani
20190616,40.27,27.2,0.05,39.14,4.75,Parbhani
20190617,39.16,28.71,0.54,39.69,4.41,Parbhani
20190618,40.76,26.98,0.0,39.97,4.87,Parbhani
20190619,39.82,27.69,0.14,44.89,4.32,Parbhani
20190620,37.31,27.8,0.44,46.52,3.48,Parbhani
20190621,39.07,28.59,2.18,42.34,2.88,Parbhani
20190622,36.65,28.21,2.48,49.7,3.64,Parbhani
20190623,32.41,25.63,10.0,69.84,2.91,Parbhani
20190624,35.86,25.37,4.25,64.77,1.5,Parbhani
20190625,35.72,24.39,1.87,63.62,1.79,Parbhani
20190626,36.07,26.12,2.32,64.28,2.22,Parbhani
20190627,32.77,26.09,14.49,74.3,2.37,Parbhani
20190628,30.82,24.99,11.5,76.0,3.9,Parbhani
20190629,27.37,23.36,10.52,81.18,4.92,Parbhani
20190630,31.2,22.7,2.29,73.52,4.64,Parbhani
20190701,32.16,22.68,0.85,73.05,3.94,Parbhani
20190702,30.8,24.1,9.48,78.55,4.23,Parbhani
20190703,30.25,22.32,6.58,73.41,5.94,Parbhani
20190704,35.28,22.6,1.91,62.21,5.41,Parbhani
20190705,31.43,21.9,2.84,67.36,5.74,Parbhani
20190706,32.24,23.89,4.37,72.77,5.61,Parbhani
20190707,30.6,24.02,6.51,76.43,5.01,Parbhani
20190708,32.76,23.83,7.24,76.02,4.52,Parbhani
20190709,32.15,24.21,4.05,73.98,4.27,Parbhani
20190710,34.02,24.33,3.85,72.43,4.17,Parbhani
20190711,31.86,24.43,10.99,75.87,4.3,Parbhani
20190712,32.74,23.62,2.16,73.73,3.43,Parbhani
20190713,32.88,23.82,0.58,73.58,3.72,Parbhani
20190714,33.15,23.75,0.3,72.1,4.2,Parbhani
20190715,33.56,23.72,0.02,68.43,4.12,Parbhani
20190716,34.52,24.2,0.29,68.18,3.81,Parbhani
20190717,35.51,24.3,0.05,66.66,3.28,Parbhani
20190718,35.06,24.26,2.79,66.2,3.24,Parbhani
20190719,31.41,24.5,4.56,73.06,2.42,Parbhani
20190720,30.08,24.2,17.4,81.65,2.03,Parbhani
20190721,32.62,24.39,5.28,77.71,1.89,Parbhani
20190722,35.03,24.35,0.03,69.98,2.1,Parbhani
20190723,35.27,24.16,0.17,70.16,2.63,Parbhani
20190724,33.88,24.75,1.58,70.94,2.35,Parbhani
20190725,31.86,24.36,5.1,78.42,4.17,Parbhani
20190726,30.09,24.02,14.62,80.55,4.49,Parbhani
20190727,30.2,23.61,11.36,80.81,5.45,Parbhani
20190728,29.56,23.48,8.15,81.05,5.46,Parbhani
20190729,27.91,23.42,18.19,86.9,4.7,Parbhani
20190730,29.24,22.99,18.06,81.67,5.95,Parbhani
20190731,28.26,22.39,12.09,82.48,5.01,Parbhani
20190801,30.0,22.54,6.41,80.45,4.92,Parbhani
20190802,27.55,22.73,18.88,85.66,4.44,Parbhani
20190803,30.04,22.98,14.06,84.84,4.44,Parbhani
20190804,29.88,23.33,2.25,83.05,4.99,Parbhani
20190805,31.25,23.0,3.53,82.95,4.58,Parbhani
20190806,30.41,23.23,8.96,84.21,4.52,Parbhani
20190807,28.55,23.02,10.38,86.74,5.1,Parbhani
20190808,27.88,23.26,15.74,86.64,5.37,Parbhani
20190809,31.63,22.96,4.13,78.45,5.68,Parbhani
20190810,32.38,22.82,0.02,75.7,4.16,Parbhani
20190811,32.11,22.35,1.24,77.62,3.21,Parbhani
20190812,30.53,22.63,0.46,80.08,3.02,Parbhani
